1. I added headers back into this file so that you would see what I'm talking about easier,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
VT_meas,alpha_meas,beta_meas,P_nav420_meas,Q_nav420_meas,R_nav420_meas,Hx_body_meas,Hy_body_meas,Hz_body_meas,Throttle_cmd,Elevator_cmd,Aileron_cmd,Rudder_cmd,accel_X_meas,accel_Y_meas,accel_Z_meas,Lat_GPS_meas,Lon_GPS_meas,Height_GPS_meas,V_North_GPS_meas,V_East_GPS_meas,V_Down_GPS_meas,enable
45.80826995,0,0,0,-3.65E-06,0,20.76079145,0.8962,48.32923196,0.15,3.35E-05,-0.004521346,0.00621491,-0.002106885,0,-0.999863426,39.252732,-96.938825,527.304,13.96226438,0,-0.051856807,1
45.76701954,0,0,-0.326548779,2.295964519,0.052309798,20.72478449,0.888591971,48.34482403,0.15,0.000139088,-0.006189303,0.007018376,-0.049185496,0.000444975,-1.003231238,,,,13.94969682,8.69E-05,-0.050314139,1
45.66451313,0,0,-0.611560336,5.982929208,0.16509023,20.54993824,0.866301178,48.41980854,0.15,0.000316831,-0.007482428,0.007345597,-0.075850998,0.000895076,-1.052718708,,,,13.91840237,0.000243832,-0.06270161,1
45.52178028,0,0,-0.843362234,9.026459302,0.289375965,20.22924953,0.831009252,48.55527968,0.15,0.000559065,-0.008620069,0.007560365,-0.089818561,0.001322789,-1.118984606,,,,13.8746458,0.00031225,-0.104406898,1
45.34981964,0,0,-1.041094749,11.08192287,0.397702156,19.79930369,0.784606281,48.73294845,0.15,0.000867162,-0.009603347,0.007673245,-0.09627838,0.001726069,-1.180765654,deleting 9 measurements and ,,,13.82148228,0.00012495,-0.177736181,1
45.15438899,0,0,-1.215150403,12.2997692,0.478198097,19.2987579,0.728710128,48.93419278,0.15,0.001249969,-0.010435373,0.007693402,-0.098558828,0.002101408,-1.228564714,replacing them with the same,,,13.76025889,-0.000474539,-0.27755021,1
44.93863663,0,0,-1.369140143,12.91615905,0.527032877,18.75766197,0.664763328,49.14505575,0.15,0.001716084,-0.011120458,0.007628979,-0.098645437,0.002444991,-1.260836754,measurement 10 times,,,13.69156353,-0.001621936,-0.39625155,1
44.70445055,0,0,-1.505715914,13.12192983,0.54441518,18.19715336,0.594084148,49.35624552,0.15,0.002270873,-0.011663826,0.007487543,-0.097633078,0.002753367,-1.279450696,,,,13.61574018,-0.003428885,-0.526506139,1
44.45313068,0,0,-1.626045183,13.05061816,0.532651366,17.63171743,0.517881411,49.56190712,0.15,0.002917183,-0.012071396,0.007276285,-0.096088081,0.003023906,-1.287337369,,,,13.53311885,-0.005983835,-0.662249574,1
44.18572034,0,0,-1.728376265,12.78737791,0.495131389,17.07146788,0.43726003,49.75843734,0.15,0.003656371,-0.012349609,0.007002082,-0.094289415,0.00325503,-1.287105968,,,,13.44409248,-0.009354385,-0.79883059,1
